date,region,product,sales,profit
2024-05-18,부산,C,500,15
2024-03-31,인천,A,371,85
2024-12-18,부산,A,622,88
2024-11-14,인천,D,588,60
2024-03-28,인천,A,199,195
2024-11-23,인천,A,708,29
2024-12-30,부산,A,725,64
2024-09-27,부산,B,677,96
2024-04-02,부산,C,986,91
2024-04-03,광주,B,817,150
2024-02-13,광주,C,311,154
2024-10-28,서울,D,941,51
2024-02-26,인천,B,701,164
2024-04-07,서울,A,657,192
2024-06-15,서울,B,309,125
2024-12-24,대구,A,973,183
2024-04-09,광주,D,644,92
2024-05-22,광주,D,316,149
2024-04-11,광주,A,500,75
2024-01-24,대구,A,860,166
2024-04-09,인천,B,679,35
2024-08-12,부산,A,336,112
2024-09-07,부산,C,170,10
2024-02-23,서울,A,942,48
2024-10-12,광주,C,557,65
2024-04-15,인천,A,119,171
2024-09-29,서울,B,235,49
2024-04-15,광주,B,136,78
2024-09-23,서울,B,232,22
2024-11-08,인천,B,336,62
2024-11-02,서울,B,648,141
2024-01-01,부산,D,533,176
2024-10-15,광주,A,932,86
2024-03-10,대구,C,630,89
2024-04-14,대구,A,711,86
2024-04-29,광주,C,855,85
2024-06-19,인천,B,893,153
2024-06-20,서울,C,317,23
2024-12-07,서울,A,585,47
2024-10-15,부산,D,152,31
2024-03-19,인천,B,542,107
2024-12-10,부산,A,742,98
2024-12-16,대구,D,644,178
2024-04-27,부산,D,586,185
2024-02-22,부산,A,214,100
2024-07-14,서울,C,352,108
2024-01-20,대구,C,491,14
2024-08-10,인천,D,465,139
2024-02-25,광주,D,479,50
2024-03-04,인천,B,825,66
2024-12-22,서울,A,522,133
2024-02-27,대구,D,661,44
2024-09-26,인천,B,880,183
2024-10-28,광주,C,221,189
2024-06-22,대구,B,944,58
2024-02-23,서울,D,430,78
2024-01-18,광주,C,457,64
2024-06-25,광주,C,223,167
2024-09-29,광주,B,823,150
2024-02-18,대구,A,597,178
2024-07-17,광주,B,688,16
2024-04-22,부산,A,908,166
2024-02-06,대구,B,988,189
2024-11-13,부산,B,399,103
2024-03-17,서울,C,138,192
2024-04-17,대구,A,374,117
2024-08-02,인천,D,735,97
2024-10-30,부산,C,757,129
2024-10-13,대구,B,804,155
2024-04-18,인천,D,957,95
2024-07-17,인천,C,311,94
2024-10-03,부산,A,346,66
2024-02-28,부산,C,963,25
2024-07-28,대구,D,404,138
2024-10-06,부산,A,822,66
2024-12-30,인천,B,525,153
2024-02-05,부산,C,702,77
2024-10-27,서울,C,321,149
2024-05-09,서울,D,761,99
2024-12-12,광주,C,417,17
2024-09-19,인천,B,912,128
2024-03-05,대구,A,389,90
2024-05-01,인천,D,702,76
2024-04-19,대구,A,890,102
2024-03-31,대구,C,709,93
2024-05-21,인천,C,958,86
2024-03-07,대구,B,934,164
2024-07-03,인천,D,466,137
2024-01-01,인천,A,959,60
2024-12-29,인천,B,217,93
2024-11-13,인천,D,486,127
2024-02-19,인천,C,115,21
2024-07-12,서울,C,664,61
2024-02-02,부산,D,694,120
2024-12-28,대구,B,412,94
2024-04-26,인천,B,621,174
2024-12-05,부산,C,260,156
2024-07-25,부산,B,756,162
2024-03-28,부산,A,357,129
2024-12-02,광주,A,336,194
2024-05-29,광주,A,613,193
2024-05-30,대구,A,560,150
2024-06-28,광주,C,984,165
2024-11-13,부산,D,224,81
2024-02-22,대구,C,797,59
2024-09-21,광주,D,417,153
2024-06-08,대구,D,625,106
2024-03-24,서울,D,366,36
2024-02-25,인천,D,892,146
2024-02-18,인천,A,724,111
2024-06-18,대구,A,302,78
2024-08-05,대구,B,743,44
2024-09-05,광주,C,547,66
2024-09-01,대구,B,668,116
2024-03-19,인천,A,455,116
2024-05-16,대구,B,140,156
2024-04-24,서울,D,755,122
2024-01-23,광주,D,338,55
2024-03-26,대구,D,991,63
2024-02-02,서울,C,942,108
2024-04-22,서울,D,985,16
2024-09-11,부산,C,212,125
2024-10-24,대구,C,328,49
2024-09-19,인천,B,152,105
2024-07-02,대구,A,351,129
2024-01-03,대구,D,716,79
2024-05-26,광주,B,925,118
2024-06-20,대구,D,261,160
2024-07-11,부산,D,213,86
2024-08-15,부산,B,290,26
2024-07-04,인천,D,943,156
2024-02-20,부산,D,390,25
2024-06-28,인천,B,130,98
2024-10-19,광주,D,855,56
2024-08-20,대구,C,153,37
2024-12-31,부산,B,181,42
2024-06-11,대구,A,613,32
2024-05-02,인천,C,940,89
2024-03-03,부산,A,192,127
2024-02-11,인천,D,527,60
2024-12-16,인천,A,886,100
2024-06-13,광주,D,238,27
2024-11-12,서울,B,550,14
2024-01-17,서울,B,329,11
2024-05-20,부산,B,964,182
2024-05-28,인천,D,884,117
2024-05-29,부산,A,937,182
2024-01-10,대구,B,456,90
2024-06-22,인천,A,147,119
2024-12-18,광주,B,323,72
2024-12-27,인천,B,940,101
2024-08-12,대구,D,680,48
2024-09-18,인천,C,780,46
2024-09-25,서울,C,262,89
2024-11-22,인천,B,260,189
2024-12-22,대구,A,902,126
2024-05-04,대구,C,763,138
2024-06-17,인천,B,136,156
2024-03-14,광주,B,635,111
2024-09-01,서울,B,797,130
2024-10-31,광주,D,348,190
2024-09-14,인천,C,851,83
2024-05-02,부산,A,775,181
2024-02-14,서울,C,975,40
2024-09-01,서울,D,294,162
2024-08-14,부산,D,488,129
2024-05-20,광주,B,592,185
2024-08-21,부산,D,528,90
2024-05-10,광주,D,510,107
2024-10-07,인천,A,955,112
2024-12-28,광주,C,885,61
2024-06-03,인천,C,362,37
2024-03-12,인천,C,247,163
2024-09-18,부산,D,199,68
2024-06-24,대구,D,295,108
2024-03-08,대구,A,867,33
2024-10-06,서울,D,534,59
2024-06-24,대구,A,539,199
2024-10-26,인천,D,259,176
2024-08-01,대구,C,824,19
2024-04-05,서울,B,238,46
2024-04-15,부산,B,241,61
2024-04-12,인천,B,115,91
2024-02-29,대구,C,854,137
2024-11-03,광주,D,512,83
2024-01-29,부산,D,108,97
2024-06-29,대구,D,961,51
2024-03-27,광주,D,459,131
2024-07-22,부산,A,341,119
2024-07-20,인천,C,179,122
2024-08-12,부산,C,622,53
2024-10-16,대구,B,354,88
2024-11-29,부산,A,338,115
2024-01-13,광주,C,721,64
2024-04-25,광주,A,642,32
2024-05-13,대구,C,355,166
2024-06-01,서울,C,493,106
2024-11-14,부산,C,305,189
2024-04-27,서울,B,921,20
2024-09-28,대구,A,442,77
2024-07-25,서울,D,234,87
2024-05-02,서울,B,892,72
2024-06-17,대구,C,221,149
2024-01-11,광주,A,608,83
2024-01-24,인천,A,707,106
2024-02-19,서울,C,445,150
2024-10-12,서울,A,310,63
2024-07-01,광주,B,198,136
2024-08-25,광주,A,905,28
2024-03-18,광주,A,581,112
2024-11-10,부산,A,832,26
2024-10-12,광주,A,591,72
2024-01-10,서울,D,196,129
2024-07-14,광주,A,254,164
2024-05-25,대구,A,703,133
2024-07-15,인천,B,201,39
2024-05-17,부산,A,944,183
2024-05-05,서울,C,789,187
2024-11-04,부산,D,301,65
2024-01-28,부산,D,382,130
2024-04-21,대구,A,845,16
2024-12-28,대구,C,129,32
2024-10-07,광주,C,506,167
2024-05-07,대구,B,543,100
2024-12-04,서울,C,167,54
2024-06-27,광주,A,534,184
2024-06-16,광주,D,682,71
2024-02-26,인천,C,356,162
2024-10-02,부산,A,682,113
2024-10-05,서울,A,465,61
2024-03-04,인천,B,251,190
2024-12-21,부산,A,248,153
2024-10-27,서울,D,877,126
2024-09-04,광주,D,100,71
2024-02-20,부산,D,818,157
2024-08-29,인천,D,790,166
2024-03-25,부산,D,927,134
2024-04-25,부산,C,352,91
2024-05-02,광주,D,555,172
2024-03-03,서울,B,724,63
2024-12-01,부산,D,228,150
2024-11-03,광주,D,296,46
2024-08-13,서울,A,884,37
2024-04-27,대구,C,103,131
2024-11-03,광주,A,132,32
2024-01-12,서울,D,262,165
2024-07-28,부산,D,423,63
2024-02-18,광주,B,857,21
2024-07-09,인천,B,356,144
2024-07-29,광주,C,736,77
2024-04-24,인천,B,495,59
2024-08-10,대구,A,783,152
2024-06-12,인천,C,340,40
2024-02-11,부산,B,421,189
2024-05-31,광주,C,668,113
2024-04-21,부산,D,494,110
2024-05-22,부산,D,481,143
2024-02-25,대구,A,206,167
2024-06-21,광주,A,645,118
2024-04-08,대구,A,727,18
2024-05-22,광주,C,710,169
2024-01-31,대구,C,670,24
2024-04-01,부산,B,976,152
2024-02-14,대구,C,497,90
2024-03-20,대구,B,358,28
2024-08-19,광주,A,438,64
2024-08-26,부산,D,858,179
2024-09-20,대구,C,671,185
2024-01-06,광주,B,950,118
2024-07-29,서울,C,187,116
2024-06-17,인천,D,243,156
2024-10-05,광주,C,126,83
2024-02-14,부산,A,591,162
2024-03-20,대구,A,488,199
2024-04-24,부산,B,296,157
2024-02-13,광주,A,162,168
2024-06-22,대구,A,100,19
2024-11-07,부산,A,957,72
2024-06-16,광주,A,457,89
2024-08-17,대구,A,405,47
2024-07-13,인천,D,606,104
2024-03-19,부산,C,910,33
2024-10-11,대구,C,559,125
2024-09-03,광주,A,948,120
2024-08-04,부산,A,550,30
2024-10-17,대구,A,610,109
2024-12-28,부산,C,557,107
2024-07-24,서울,C,711,107
2024-07-02,인천,B,819,34
2024-12-07,광주,D,196,42
2024-08-15,부산,C,573,113
2024-03-17,부산,A,509,68
2024-09-16,부산,B,166,19
2024-10-12,서울,B,988,189
2024-03-03,서울,B,744,78
2024-08-14,부산,A,690,46
2024-10-21,광주,D,145,111
2024-02-24,광주,A,535,199
2024-02-08,광주,B,426,159
2024-11-23,인천,A,588,169
2024-03-23,부산,D,459,157
2024-09-20,부산,B,359,172
2024-12-28,부산,B,935,148
2024-10-06,대구,A,470,11
2024-06-16,대구,A,176,184
2024-08-01,인천,C,856,147
2024-09-08,인천,C,551,197
2024-05-24,광주,C,164,169
2024-01-24,서울,B,227,169
2024-06-12,인천,A,776,164
2024-03-27,광주,A,699,124
2024-10-05,광주,C,868,99
2024-12-19,대구,B,801,156
2024-08-08,광주,A,782,157
2024-11-19,부산,C,319,95
2024-11-27,광주,B,647,163
2024-10-09,부산,B,955,120
2024-03-15,서울,B,229,63
2024-12-31,부산,A,712,90
2024-09-23,부산,B,298,52
2024-05-27,인천,B,930,104
2024-04-14,서울,C,551,12
2024-12-29,서울,D,649,166
2024-07-31,인천,C,598,110
2024-01-27,인천,C,575,112
2024-11-10,서울,D,531,34
2024-02-16,광주,B,832,153
2024-04-28,서울,B,841,63
2024-01-26,인천,C,906,194
2024-08-06,인천,B,417,133
2024-12-21,인천,B,576,89
2024-05-11,광주,A,918,22
2024-02-12,대구,A,552,64
2024-05-13,대구,C,830,41
2024-05-22,부산,D,468,177
2024-07-10,대구,B,354,198
2024-01-15,대구,C,549,126
2024-11-02,서울,A,813,138
2024-03-18,인천,C,389,92
2024-11-29,부산,C,829,108
2024-07-02,인천,D,653,124
2024-10-23,부산,D,809,121
2024-10-02,인천,B,788,105
2024-05-29,대구,B,401,188
2024-12-28,인천,C,184,170
2024-07-18,대구,A,727,31
2024-12-18,부산,D,589,101
2024-04-26,서울,A,678,19
2024-08-09,부산,B,859,144
2024-12-27,부산,D,160,187
2024-05-02,서울,B,333,188
2024-01-22,인천,D,111,82
2024-09-13,대구,B,858,176
2024-10-07,인천,B,831,115
2024-08-19,광주,A,254,135
2024-09-03,인천,B,357,41
2024-11-07,부산,B,978,63
2024-01-08,서울,B,709,62
2024-06-12,서울,B,411,54
2024-09-08,부산,D,696,84
2024-11-01,대구,D,361,85
2024-03-22,대구,C,657,159
2024-09-07,광주,D,303,146
2024-03-20,인천,B,470,96
2024-08-20,대구,B,286,68
2024-10-09,부산,A,883,22
2024-11-28,인천,B,431,29
2024-07-30,대구,A,626,122
2024-06-20,인천,B,766,69
2024-08-19,부산,B,182,10
2024-07-04,대구,A,740,117
2024-05-28,부산,B,117,151
2024-10-03,광주,D,779,116
2024-07-17,인천,C,752,189
2024-04-14,대구,D,300,161
2024-09-22,대구,D,608,66
2024-01-26,대구,C,136,153
2024-07-29,서울,A,292,60
2024-04-05,서울,C,870,51
2024-05-03,광주,A,299,191
2024-01-27,인천,B,195,50
2024-10-17,부산,B,511,112
2024-12-13,인천,D,992,122
2024-03-25,서울,B,102,142
2024-07-01,광주,D,713,169
2024-11-16,광주,A,532,196
2024-11-07,광주,D,597,188
2024-09-27,인천,D,705,87
2024-11-15,대구,A,598,41
2024-09-17,대구,B,331,125
2024-02-17,광주,B,246,149
2024-04-06,부산,A,273,78
2024-08-03,광주,D,351,106
2024-07-31,서울,B,701,67
2024-12-14,대구,C,701,117
2024-07-31,인천,A,854,25
2024-04-20,광주,C,269,133
2024-12-27,인천,B,148,140
2024-11-14,부산,A,813,149
2024-06-21,부산,C,175,70
2024-03-29,부산,B,752,33
2024-03-19,인천,D,726,44
2024-11-02,서울,C,840,175
2024-07-25,서울,B,633,87
2024-06-14,부산,A,977,88
2024-01-20,부산,B,270,12
2024-11-23,서울,A,548,50
2024-07-23,서울,A,353,80
2024-11-18,광주,B,605,136
2024-11-26,광주,C,725,121
2024-06-20,인천,B,359,70
2024-02-29,대구,C,338,177
2024-12-18,광주,B,755,58
2024-09-14,부산,A,742,105
2024-09-25,인천,D,284,162
2024-11-03,부산,C,854,139
2024-01-26,서울,C,892,172
2024-09-11,대구,B,556,132
2024-07-17,부산,B,938,95
2024-01-17,대구,B,942,47
2024-02-02,인천,C,321,10
2024-04-07,광주,B,167,102
2024-01-06,부산,A,832,192
2024-10-08,대구,A,168,51
2024-05-04,서울,B,282,158
2024-07-24,인천,B,165,187
2024-01-04,서울,B,342,71
2024-05-04,부산,B,837,85
2024-03-18,서울,D,917,15
2024-09-16,부산,B,223,112
2024-11-29,인천,D,178,126
2024-07-30,부산,D,384,59
2024-08-16,광주,B,674,183
2024-06-14,광주,A,588,97
2024-03-21,대구,B,498,10
2024-01-13,인천,C,656,87
2024-09-15,서울,A,181,33
2024-04-03,인천,C,325,41
2024-03-11,부산,C,490,66
2024-09-06,광주,D,119,171
2024-01-16,부산,B,855,86
2024-05-29,인천,A,296,80
2024-04-05,인천,B,655,116
2024-08-19,서울,D,734,19
2024-07-07,인천,C,170,28
2024-09-20,대구,C,614,103
2024-02-14,인천,D,837,135
2024-01-29,서울,D,508,175
2024-01-07,부산,B,182,20
2024-08-29,부산,B,199,140
2024-05-21,부산,C,685,168
2024-07-19,부산,D,155,172
2024-12-13,광주,D,225,101
2024-07-10,서울,A,711,54
2024-11-28,부산,C,442,21
2024-10-31,부산,B,323,41
2024-03-21,부산,C,701,44
2024-10-22,광주,C,301,81
2024-08-17,서울,B,201,69
2024-01-30,부산,A,822,74
2024-10-17,서울,A,696,187
2024-12-27,부산,D,621,62
2024-12-13,대구,B,928,99
2024-10-15,대구,C,355,184
2024-12-27,광주,B,994,157
2024-03-06,대구,C,727,190
2024-05-28,서울,A,444,36
2024-10-26,부산,B,454,184
2024-06-25,부산,A,386,27
2024-08-20,인천,B,801,102
2024-03-23,인천,C,504,106
2024-07-22,광주,D,946,23
2024-05-28,인천,A,924,160
2024-09-22,부산,D,961,71
2024-08-01,부산,A,139,196
2024-03-20,대구,D,551,191
2024-09-25,인천,A,321,192
2024-03-08,서울,D,610,92
2024-09-17,부산,B,448,152
2024-03-04,인천,A,209,195
2024-09-28,부산,C,337,115
2024-10-02,부산,C,221,31
2024-08-05,인천,A,649,35
2024-09-09,대구,A,705,190
2024-01-14,서울,D,370,128
2024-02-16,서울,C,786,55
2024-04-10,대구,C,799,142
2024-10-04,대구,C,675,194
2024-05-04,부산,C,309,154
2024-09-27,부산,A,170,184
2024-08-02,광주,D,269,112
2024-11-07,인천,B,672,146
2024-06-28,부산,D,328,122
2024-01-12,인천,D,127,193
2024-09-12,대구,B,446,23
2024-08-07,부산,D,781,133
2024-05-11,인천,D,513,174
2024-12-27,대구,D,800,67
2024-12-22,광주,C,657,114
2024-04-11,인천,A,567,69
2024-07-14,부산,D,452,158
2024-07-15,부산,A,836,63
2024-02-09,대구,B,734,24
2024-09-18,인천,D,745,83
2024-11-19,인천,A,913,73
2024-09-07,부산,C,471,21
2024-08-27,광주,B,849,184
2024-12-21,대구,A,940,21
2024-05-19,인천,C,970,31
2024-08-03,인천,D,989,87
2024-01-22,광주,B,886,62
2024-09-03,광주,D,293,114
2024-10-08,대구,D,663,79
2024-06-11,부산,C,614,121
2024-08-13,광주,A,277,90
2024-08-14,대구,C,646,106
2024-01-17,광주,B,141,188
2024-01-12,광주,C,605,19
2024-01-26,광주,C,191,60
2024-05-02,대구,A,295,91
2024-11-27,부산,D,890,68
2024-12-27,서울,A,983,17
2024-11-26,인천,B,729,138
2024-07-07,대구,B,346,20
2024-05-29,인천,C,954,187
2024-10-15,광주,D,608,135
2024-06-30,부산,A,347,103
2024-06-11,광주,C,101,52
2024-06-10,대구,B,102,64
2024-01-29,광주,C,881,113
2024-09-13,대구,B,706,70
2024-09-07,광주,D,973,34
2024-08-22,광주,A,402,90
2024-07-01,서울,A,364,138
2024-11-13,부산,B,894,107
2024-04-14,인천,C,288,93
2024-06-09,광주,B,705,134
2024-11-25,광주,D,213,128
2024-09-11,부산,A,610,129
2024-08-21,대구,C,328,86
2024-12-30,부산,B,280,64
2024-09-04,광주,D,682,154
2024-01-16,대구,A,314,139
2024-03-06,부산,B,621,25
2024-09-13,부산,D,332,10
2024-10-01,인천,D,595,89
2024-07-09,대구,C,450,105
2024-09-27,대구,B,463,99
2024-06-15,대구,D,375,165
2024-02-17,대구,D,595,168
2024-12-03,광주,D,227,24
2024-09-30,대구,B,574,133
2024-05-20,광주,B,774,109
2024-12-23,대구,B,649,145
2024-07-13,대구,A,902,130
2024-09-17,광주,A,657,36
2024-09-27,부산,C,506,156
2024-01-04,광주,C,420,72
2024-04-09,인천,D,486,17
2024-03-22,인천,A,501,104
2024-08-14,대구,B,597,81
2024-01-06,서울,C,288,64
2024-10-08,부산,B,204,62
2024-07-13,광주,A,851,95
2024-04-03,인천,D,340,28
2024-03-10,서울,B,471,187
2024-12-08,서울,A,336,134
2024-07-30,광주,B,175,109
2024-04-15,대구,D,689,122
2024-01-09,서울,D,647,63
2024-08-16,서울,B,403,162
2024-06-06,서울,C,872,56
2024-06-17,서울,A,524,154
2024-09-16,광주,B,378,183
2024-09-24,부산,A,979,149
2024-08-07,부산,C,965,25
2024-04-17,대구,A,458,111
2024-07-12,인천,A,899,113
2024-05-30,인천,A,877,96
2024-09-21,광주,D,194,183
2024-10-23,대구,D,702,113
2024-11-26,인천,B,687,104
2024-01-12,광주,C,949,48
2024-09-11,부산,C,477,170
2024-11-17,인천,D,994,30
2024-10-29,광주,B,256,147
2024-10-29,서울,A,138,164
2024-07-14,부산,B,394,97
2024-03-02,광주,B,902,177
2024-08-29,부산,C,560,50
2024-12-04,광주,A,775,166
2024-02-11,부산,D,953,127
2024-07-14,부산,C,802,27
2024-12-08,광주,A,340,82
2024-01-11,서울,A,639,147
2024-11-04,서울,A,737,98
2024-04-04,서울,D,742,58
2024-09-15,인천,A,381,50
2024-08-26,부산,B,955,54
2024-05-15,인천,D,489,46
2024-04-07,광주,B,983,147
2024-05-08,서울,D,971,96
2024-12-08,서울,A,311,169
2024-08-15,서울,B,485,81
2024-02-21,광주,A,346,125
2024-12-31,광주,B,172,180
2024-04-30,서울,C,743,135
2024-04-16,인천,D,253,89
2024-11-03,인천,C,358,74
2024-06-10,서울,B,107,32
2024-08-10,부산,D,620,57
2024-11-25,서울,D,858,184
2024-04-22,서울,D,242,21
2024-04-15,인천,A,703,145
2024-05-06,인천,C,729,87
2024-04-27,서울,D,269,61
2024-03-17,서울,C,371,179
2024-07-23,서울,D,819,67
2024-01-24,광주,D,386,100
2024-07-23,인천,D,327,49
2024-08-19,부산,C,396,110
2024-03-13,대구,C,716,153
2024-11-08,인천,C,776,182
2024-08-01,광주,D,929,25
2024-10-18,인천,C,829,153
2024-06-19,광주,A,965,48
2024-04-05,대구,A,821,75
2024-04-01,서울,B,734,48
2024-11-30,광주,A,588,157
2024-04-25,대구,B,452,83
2024-08-20,서울,D,491,181
2024-06-03,인천,A,515,119
2024-06-09,인천,B,490,55
2024-08-13,서울,B,991,86
2024-11-28,서울,B,915,197
2024-11-13,서울,B,667,43
2024-10-19,서울,D,633,140
2024-10-01,인천,D,359,148
2024-01-14,광주,A,656,105
2024-08-22,부산,D,709,191
2024-03-17,광주,D,847,149
2024-06-02,인천,A,324,128
2024-01-05,서울,A,425,71
2024-08-23,인천,A,637,64
2024-10-15,대구,B,821,82
2024-10-16,대구,A,771,140
2024-11-15,서울,C,597,191
2024-05-17,서울,A,864,168
2024-11-03,대구,B,474,44
2024-02-21,광주,C,183,69
2024-11-10,부산,C,176,48
2024-09-29,서울,A,474,45
2024-09-18,광주,A,343,104
2024-06-25,대구,C,701,194
2024-08-08,서울,D,134,88
2024-03-12,인천,B,893,10
2024-06-17,서울,B,210,42
2024-01-05,광주,A,679,158
2024-11-12,광주,B,849,51
2024-07-31,서울,A,131,197
2024-08-18,광주,D,249,96
2024-10-24,서울,C,599,122
2024-02-28,부산,C,163,72
2024-01-24,대구,B,204,130
2024-01-15,인천,B,824,87
2024-04-18,서울,A,874,116
2024-11-13,서울,B,350,18
2024-12-25,광주,B,642,48
2024-01-10,인천,A,915,51
2024-01-18,대구,D,309,178
2024-10-15,서울,A,772,61
2024-04-16,인천,A,141,151
2024-12-01,광주,A,189,83
2024-09-26,광주,C,845,98
2024-05-20,서울,C,837,106
2024-10-18,대구,C,754,133
2024-02-09,인천,D,858,146
2024-10-15,부산,A,592,31
2024-01-22,부산,B,134,141
2024-10-19,부산,A,724,198
2024-07-19,광주,A,704,199
2024-05-14,대구,A,962,138
2024-11-20,대구,D,324,147
2024-04-03,대구,B,464,112
2024-02-15,서울,D,116,122
2024-08-18,대구,B,800,173
2024-12-14,광주,C,950,117
2024-09-01,광주,A,947,50
2024-12-14,부산,C,277,195
2024-11-06,대구,C,361,120
2024-01-19,대구,D,255,141
2024-12-24,대구,A,339,123
2024-06-20,서울,D,848,87
2024-05-26,부산,C,893,120
2024-03-29,광주,B,358,54
2024-08-19,대구,B,720,39
2024-09-04,광주,D,766,185
2024-10-04,인천,A,447,118
2024-01-13,인천,C,727,38
2024-12-29,대구,B,181,67
2024-05-01,서울,A,999,32
2024-02-10,서울,B,538,55
2024-06-29,인천,D,237,72
2024-09-13,부산,D,644,94
2024-08-21,광주,A,467,187
2024-07-09,광주,D,398,166
2024-04-19,서울,B,520,57
2024-09-11,서울,A,235,187
2024-08-04,광주,B,163,177
2024-11-15,광주,C,925,87
2024-02-25,광주,A,299,28
2024-01-07,대구,B,267,96
2024-10-07,광주,D,880,94
2024-05-16,인천,D,574,28
2024-11-05,대구,B,964,115
2024-07-22,서울,D,931,109
2024-03-26,서울,B,870,18
2024-09-12,광주,B,559,38
2024-08-19,인천,C,110,160
2024-09-13,인천,B,631,38
2024-04-19,인천,D,940,47
2024-06-29,서울,D,653,111
2024-10-28,광주,C,556,173
2024-09-17,대구,C,515,101
2024-04-17,서울,A,685,130
2024-01-17,인천,D,308,197
2024-02-20,광주,D,691,154
2024-03-29,부산,B,107,126
2024-04-04,부산,A,193,86
2024-01-06,부산,D,390,190
2024-03-19,부산,C,145,96
2024-10-15,인천,C,257,90
2024-02-16,대구,A,692,16
2024-12-07,광주,D,192,98
2024-08-23,부산,D,263,193
2024-11-27,대구,B,146,24
2024-04-27,대구,B,877,129
2024-03-26,부산,C,652,118
2024-09-07,대구,C,972,84
2024-07-12,광주,C,309,120
2024-09-26,인천,B,688,181
2024-12-06,서울,B,198,46
2024-03-20,대구,A,178,50
2024-07-06,부산,C,998,29
2024-08-08,광주,D,116,64
2024-03-16,서울,C,638,11
2024-01-11,대구,A,863,56
2024-09-17,서울,C,650,127
2024-03-30,부산,D,861,41
2024-05-31,대구,D,544,176
2024-08-17,대구,D,122,68
2024-09-06,대구,D,623,18
2024-12-29,광주,D,185,178
2024-02-07,인천,A,509,126
2024-01-08,서울,D,935,68
2024-06-05,인천,D,560,121
2024-05-12,부산,A,926,94
2024-01-11,부산,C,565,179
2024-06-12,인천,A,479,18
2024-06-07,인천,C,679,139
2024-08-14,부산,B,660,172
2024-07-23,서울,B,844,172
2024-03-06,광주,D,233,87
2024-12-28,서울,D,261,104
2024-11-21,광주,B,848,148
2024-01-01,서울,C,820,196
2024-09-29,부산,D,479,80
2024-09-05,서울,B,637,144
2024-06-26,부산,A,101,27
2024-04-05,부산,A,190,152
2024-07-05,서울,C,519,184
2024-06-15,부산,A,716,116
2024-06-15,인천,A,224,145
2024-07-03,인천,D,433,80
2024-01-19,광주,B,463,42
2024-05-15,서울,A,521,82
2024-01-04,대구,B,270,37
2024-07-28,대구,D,674,134
2024-11-04,서울,C,815,141
2024-10-21,부산,B,235,151
2024-09-29,서울,A,839,173
2024-05-23,대구,D,995,177
2024-01-09,광주,C,203,84
2024-09-06,서울,D,831,131
2024-04-22,서울,D,168,79
2024-06-05,서울,C,228,26
2024-02-14,부산,D,929,39
2024-04-30,광주,C,680,27
2024-01-02,광주,B,688,132
2024-06-30,대구,A,382,76
2024-10-17,인천,A,482,48
